year,aqi
2000.0,26.0
2000.0,
2000.0,
2000.0,17.0
2000.0,
2000.0,20.0
2000.0,
2000.0,30.0
2000.0,
2000.0,13.0
2000.0,
2000.0,13.0
2000.0,
2000.0,16.0
2000.0,
2000.0,12.0
2000.0,
2000.0,18.0
2000.0,
2000.0,24.0
2000.0,
2000.0,21.0
2000.0,
2000.0,20.0
2000.0,
2000.0,17.0
2000.0,
2000.0,19.0
2000.0,
2000.0,21.0
2000.0,
2000.0,22.0
2000.0,
2000.0,26.0
2000.0,
2000.0,38.0
2000.0,
2000.0,20.0
2000.0,
2000.0,19.0
2000.0,
2000.0,10.0
2000.0,
2000.0,19.0
2000.0,
2000.0,21.0
2000.0,
2000.0,28.0
2000.0,
2000.0,19.0
2000.0,
2000.0,13.0
2000.0,
2000.0,13.0
2000.0,
2000.0,17.0
2000.0,
2000.0,15.0
2000.0,
2000.0,19.0
2000.0,
2000.0,26.0
2000.0,
2000.0,35.0
2000.0,
2000.0,25.0
2000.0,
2000.0,15.0
2000.0,
2000.0,22.0
2000.0,
2000.0,31.0
2000.0,
2000.0,23.0
2000.0,
2000.0,21.0
2000.0,
2000.0,20.0
2000.0,
2000.0,23.0
2000.0,
2000.0,20.0
2000.0,
2000.0,20.0
2000.0,
2000.0,30.0
2000.0,
2000.0,44.0
2000.0,
2000.0,52.0
2000.0,
2000.0,53.0
2000.0,
2000.0,40.0
2000.0,
2000.0,35.0
2000.0,
2000.0,53.0
2000.0,
2000.0,53.0
2000.0,
2000.0,57.0
2000.0,
2000.0,45.0
2000.0,
2000.0,23.0
2000.0,
2000.0,23.0
2000.0,
2000.0,34.0
2000.0,
2000.0,45.0
2000.0,
2000.0,34.0
2000.0,
2000.0,32.0
2000.0,
2000.0,33.0
2000.0,
2000.0,45.0
2000.0,
2000.0,53.0
2000.0,
2000.0,36.0
2000.0,
2000.0,41.0
2000.0,
2000.0,52.0
2000.0,
2001.0,21.0
2001.0,
2001.0,16.0
2001.0,
2001.0,19.0
2001.0,
2001.0,23.0
2001.0,
2001.0,28.0
2001.0,
2001.0,31.0
2001.0,
2001.0,29.0
2001.0,
2001.0,25.0
2001.0,
2001.0,31.0
2001.0,
2001.0,40.0
2001.0,
2001.0,26.0
2001.0,
2001.0,23.0
2001.0,
2001.0,26.0
2001.0,
2001.0,29.0
